county,state,Population (2014),Population (2010),% people under 18 (2014),% people over 65 (2014),% female (2014),% white (2014),% black (2014),% asian (2014),% hispanic (2014),% immigrants (2009-2013),"% high school graduate, people over 25 (2009-2013)","% bachelors degree, people over 25 (2009-2013)",# of veterans(2009-2013),"mean travel time to work, mins (2009-2013)",homeownership rate (2009-2013),Per capita money income in past 12 months (2009-2013),median household income (2009-2013),% people below poverty line (2009-2013),land area in square miles (2010),population per square mile (2010),Population  per square mile using 2014 population and 2010 land area
Clarke ,IA,9217,9286,24.3,17.6,49.8,96.4,0.9,0.7,12.1,5.5,87.3,14.3,695,21.9,71,23472,43216,13.7,431.17,21.5,21.37671916
Clay ,IA,16515,16667,22.8,19.6,50.9,97.3,0.7,0.7,3.2,2.2,93.1,18.4,1360,15.2,74.2,29060,49035,8.9,567.24,29.4,29.11466046
Clayton ,IA,17692,18129,22.2,20.9,49.7,97.9,0.7,0.3,1.9,1.4,91.6,15.5,1575,21.4,78.2,25074,47494,12.5,778.54,23.3,22.72458705
Clinton ,IA,48051,49116,22.7,18.3,50.9,94,3.2,0.6,2.9,1.5,90,17.7,4259,19.2,74.4,25966,49559,14,694.92,70.7,69.14608876
Crawford ,IA,17228,17096,25.5,16.9,49,93.8,2.3,1.7,27.3,12.8,78.9,14.7,1161,15.1,75.9,22748,46548,15.8,714.19,23.9,24.12243241
Dallas ,IA,77400,66135,28.6,11.2,51,92.7,1.8,3.6,6.3,6.6,94.4,43.6,3902,20.5,77.4,35844,73847,6.4,588.45,112.4,131.5319908
Davis ,IA,8781,8753,28.9,17.5,50.6,98.3,0.2,0.3,1.2,0.8,85.5,16.4,717,22.8,80.2,22210,45040,21.2,502.19,17.4,17.48541389
Decatur ,IA,8263,8457,21.8,18.3,49.8,95.3,2,0.9,2.6,1.5,85,18.4,612,21,70.1,18845,36326,19.5,531.88,15.9,15.53545913
Delaware ,IA,17398,17764,23.8,18.1,50,98.4,0.4,0.3,1.1,0.8,91,15.5,1200,22,78.8,26261,54076,8.4,577.76,30.7,30.11284963
Des Moines ,IA,40255,40325,23,18.8,50.9,90.4,5.9,0.9,2.9,1.5,91.1,18.9,3575,15.9,73.1,24408,42451,13.8,416.12,96.9,96.73892146
Dickinson ,IA,16935,16667,19.1,24.2,50.2,97.9,0.4,0.6,1.7,1,93.3,25.4,1737,16.7,75.6,31790,56136,7.8,380.61,43.8,44.49436431
Dubuque ,IA,96370,93653,23.1,16.2,50.6,93.7,3,1.4,2.2,1.9,91.4,27.1,7057,17.3,73,26254,51475,10.9,608.31,154,158.4225148
Emmet ,IA,9990,10302,21.6,19.2,49.3,93.8,1,0.6,10.4,5.1,88.4,15.3,770,16.4,79.8,27908,48601,12.5,395.88,26,25.23491967
Fayette ,IA,20343,20880,21.2,20.4,49.9,96.6,1.2,0.8,2.2,0.9,88.9,18.4,1717,21.1,77.6,23391,45542,11.5,730.81,28.6,27.8362365
Floyd ,IA,16077,16303,23.1,20.7,50.9,95,2,1.7,2.3,1.4,90.5,15.9,1523,19.6,72.9,24590,43826,12.6,500.63,32.6,32.11353694
Franklin ,IA,10436,10680,22.8,20.1,49.8,96.7,0.9,0.7,11.8,5,85.2,15.1,809,19.4,73.7,26102,48355,11.1,581.97,18.4,17.93219582
Fremont ,IA,7022,7441,22,21.6,50.6,97.6,0.7,0.3,2.6,0.7,91.7,20.5,776,22.7,77.5,26930,50520,10.2,511.15,14.6,13.7376504
Greene ,IA,9200,9336,22.9,21.4,51.1,97.4,0.6,0.4,2.9,1.2,88.8,17.4,821,18.8,76,26205,45865,13,569.57,16.4,16.15253612
Grundy ,IA,12375,12453,23.4,19.8,50.9,98.3,0.5,0.3,1.2,0.4,93.9,20.7,894,20.7,81.9,31164,56827,7,501.86,24.8,24.65827123
Guthrie ,IA,10722,10954,22.2,21.7,50.2,98,0.3,0.4,2.3,1.1,91.4,17.1,898,27.3,80.4,28030,50609,10.3,590.62,18.5,18.15380448
Hamilton ,IA,15117,15673,23,19.4,50.7,95.4,0.8,2.1,5.4,2.2,89.7,18,1323,17.6,71,24510,43589,12.3,576.75,27.2,26.2106632
Hancock ,IA,11027,11341,22.7,20.2,49.8,97.5,0.7,0.5,3.5,1.8,90.7,16.6,798,20.8,80.1,25814,50105,10.4,571.01,19.9,19.3113956
Hardin ,IA,17311,17534,21,21.2,50,96.3,1.5,0.6,4.1,2.5,91.7,19.7,1485,17.7,74.4,25153,49342,8.6,569.31,30.8,30.40698389
Harrison ,IA,14324,14928,22.6,19.1,50.3,97.9,0.4,0.4,1.4,0.9,91.1,17.7,1099,25.8,77.2,26184,54583,9.6,696.85,21.4,20.55535625
Henry ,IA,20217,20145,22.3,17.6,48.8,92.4,2.6,2.9,4.7,3.3,91.3,20,1575,18.5,74,22687,46376,17.9,434.33,46.4,46.54755601
Howard ,IA,9449,9566,25.2,19.7,50.2,97.8,0.8,0.3,1.4,1.1,87.1,11.6,694,17.6,79.8,24286,46429,11.6,473.25,20.2,19.96619123
Humboldt ,IA,9640,9815,22.9,20.3,51,97.7,0.7,0.4,4,2,90.5,18.2,934,17.2,76.7,26746,47897,10.2,434.35,22.6,22.19408311
Ida ,IA,7042,7089,23.8,21.6,50.1,97.8,0.4,0.4,2,0.5,89.4,19.6,626,15.7,73.3,25869,43449,14.4,431.51,16.4,16.3194364
Iowa ,IA,16375,16355,23.3,18,50.5,97.9,0.7,0.4,2.5,1.4,93.2,21,1044,22.5,79.7,28068,58008,10.9,586.46,27.9,27.9217679
Jackson ,IA,19482,19848,22.3,19.8,50.3,96.9,0.6,0.4,1.3,0.8,89.2,14.5,1788,23.2,76.2,24493,46467,10.5,636.04,31.2,30.63014905
Jasper ,IA,36872,36842,22.5,18,49,96,1.9,0.6,1.9,1.1,91.5,17.8,2818,22,71.3,24905,50513,11.8,730.42,50.4,50.48054544
Jefferson ,IA,17325,16843,16.8,18.8,46.1,85.6,1.9,10.8,2.9,12,95,31.2,1561,14.7,71.9,27593,48814,12.4,435.51,38.7,39.78094648
Johnson ,IA,142287,130882,20.4,9.9,50.2,85.4,5.9,6,5.5,9.3,94.8,51.1,6630,18.2,59.7,29592,53424,17.7,614.04,213.1,231.7226891
Jones ,IA,20454,20638,21.8,18.5,48.1,96.2,2.3,0.6,1.6,1,91.4,17.2,1948,24.3,80.2,26762,55041,8.3,575.62,35.9,35.53385914
Keokuk ,IA,10231,10511,23.2,20.1,49.8,98.3,0.5,0.2,1.6,0.5,88.2,13.4,788,24,80.6,22243,42167,13.2,579.18,18.1,17.6646293
Kossuth ,IA,15222,15543,21.9,22.5,49.8,97.7,0.6,0.5,2,1,92.2,18.3,1433,15.5,80.5,29127,51812,8.7,972.72,16,15.64890205
Lee ,IA,35286,35862,21.6,18.6,50.1,94,3.1,0.6,3.4,2,90,15.8,3552,17.9,73.9,22649,42469,15.1,517.52,69.3,68.18287216
Linn ,IA,217751,211226,23.8,14.3,50.6,90.6,4.5,2.2,2.9,2.9,93.8,31.2,16870,18.5,73,29943,57260,9.7,716.88,294.6,303.7481866
Louisa ,IA,11161,11387,23.2,16.6,49.3,95.1,1,2.1,16.2,8.1,83.3,13.5,815,23,78.6,24272,50583,12.2,401.77,28.3,27.77957538
Lucas ,IA,8701,8898,23.3,21,49.6,98.5,0.3,0.3,1.3,5.8,89.9,11.3,656,24.1,77.5,21126,43288,17,430.59,20.7,20.20715762
Lyon ,IA,11683,11581,28.1,16.9,49.8,98.3,0.3,0.3,2.7,1.1,89.1,17.6,689,18.1,82.3,23683,52152,8,587.65,19.7,19.88088148
Madison ,IA,15609,15679,26,16.3,50.2,97.6,0.5,0.5,1.5,1.4,94.2,21.5,1365,26.5,76.8,27685,57581,8.9,561.01,27.9,27.82303346
Mahaska ,IA,22370,22381,23.7,16.9,49.6,95.9,1.3,1.2,1.9,1.5,90.5,21.5,1481,17.9,70.5,23788,47967,15.9,570.86,39.2,39.18649056
Marion ,IA,33365,33309,24.1,16.4,50.1,96.3,1,1.4,1.9,2.3,92.4,25,2484,20.3,75.8,25477,54723,9.2,554.53,60.1,60.16807026
Marshall ,IA,40866,40648,24.9,17.5,49.5,92.4,2,2.8,19.9,12.1,85.2,19.3,3538,17.3,73.4,24117,51555,12.1,572.5,71,71.38165939
Mills ,IA,14831,15059,24.2,15.8,49.9,96.9,0.6,0.7,2.6,0.8,92.1,24,1347,25.2,83.7,27101,63076,7,437.44,34.4,33.90407827
Mitchell ,IA,10779,10776,23.9,21.5,50.5,98.3,0.6,0.3,1.2,1.4,91,15.7,895,16.6,81.4,24518,51078,7.1,469.13,23,22.97657366
Monona ,IA,8996,9243,21.4,24.6,50.6,97,0.5,0.3,2,0.9,89.7,14.3,965,21.3,70.7,24557,42025,9,694.07,13.3,12.96122869
Monroe ,IA,8001,7970,23.6,19,49.8,97.3,0.6,0.8,2.4,4.3,86.7,19.3,645,25.1,75.5,24508,45997,11.8,433.72,18.4,18.44738541
Montgomery ,IA,10421,10740,22.6,20.8,51.1,97.7,0.4,0.4,3.5,1.3,87.4,15.1,897,18.7,71.8,22868,44281,16.1,424.1,25.3,24.5720349
Muscatine ,IA,42903,42745,25.4,15,50.2,94.6,2.2,1.1,17.2,6,84.6,16.2,2866,18,74.9,25038,51425,14.4,437.47,97.7,98.07072485
O'Brien ,IA,14056,14398,23.6,20.6,49.8,97.1,0.9,0.7,4.5,2.8,91.1,18.9,1117,16.7,74.9,28086,48185,11.3,573.04,25.1,24.5288287
Osceola ,IA,6218,6462,23.2,20.2,49.4,97.5,0.4,0.6,6.8,4.5,86.3,15.6,493,18.9,74.9,24653,48659,8.6,398.68,16.2,15.59646835
Page ,IA,15496,15932,20.6,20.8,47.8,94.2,2.4,1.2,2.9,2,89.3,17.4,1590,16.4,73.2,23496,43010,13.9,534.94,29.8,28.9677347
Palo Alto ,IA,9099,9421,22,21.4,50.3,97,0.9,0.5,2.1,1.3,90,16.5,782,16.9,77.2,25055,44663,9.2,563.84,16.7,16.13755675
Plymouth ,IA,24874,24986,25.1,17.6,50.3,97.2,0.5,0.6,4.1,1.8,92.5,20.9,2025,17.1,79.3,27942,58888,6.4,862.89,29,28.82638575
Pocahontas ,IA,7138,7310,22.6,22.3,50.2,96.9,0.9,0.2,3.4,1.8,92.6,17.8,668,17.7,79.4,25556,44073,14.2,577.24,12.7,12.36574042
Polk ,IA,459862,430640,25.2,11.7,50.8,86.5,6.7,4.2,8,8.5,91.8,34.9,26762,19,69.2,30442,59018,11.8,573.8,750.5,801.4325549
Pottawattamie ,IA,93128,93158,23.7,15.7,50.9,95.2,1.6,0.8,7.2,3.3,89.3,19.1,7373,20.8,70.2,25847,51304,13.8,950.28,98,98.0005893
Poweshiek ,IA,18668,18914,20.4,19.2,51.1,94.8,1.4,1.8,3,3.1,92.6,24.1,1296,17,72.9,25318,50349,12.8,584.93,32.3,31.91492999
Ringgold ,IA,5051,5131,23.3,25.3,50.8,98.1,0.4,0.4,2,0.7,88.5,17.6,401,18,76.5,23324,44551,13.1,535.5,9.6,9.432306256
Sac ,IA,10035,10350,22,22.3,50.9,98.2,0.3,0.4,2.8,1.2,91.4,19.1,943,17.7,81.4,26350,48093,8.7,575.01,18,17.4518704
Scott ,IA,171387,165224,24.1,14.4,51,86.7,7.5,2.5,6.3,3.4,92.3,31.6,12299,18,69,28948,52735,13.1,458.09,360.7,374.1339038
Shelby ,IA,11948,12167,22.7,22.4,50.8,97.7,0.5,0.4,2.3,2,90.9,18.2,1041,18.5,77.7,26387,48783,10.8,590.78,20.6,20.2241105
Sioux ,IA,34681,33704,26.9,14.5,49.8,96.6,1,1.1,9.8,6.3,88.6,23.4,1830,12.8,80,24324,57227,8.2,768.33,43.9,45.13815678
Story ,IA,94073,89542,17.1,10.7,48.1,88.2,2.8,7,3.1,8.3,95.5,47.7,4787,17.8,55,25986,50516,20.9,572.82,156.3,164.2278552
Tama ,IA,17451,17767,24.1,19.2,50.9,88.3,0.6,0.4,8.4,2.8,89.9,16.1,1496,21.6,74.7,25311,51670,11.5,721.01,24.6,24.2035478
Taylor ,IA,6143,6317,23.1,21.1,49.3,98.2,0.4,0.3,7.5,3.4,90,13.8,511,21,76.2,23793,43804,14.5,531.9,11.9,11.54916338
Union ,IA,12516,12534,23.1,18.9,51.3,97.1,1,0.6,2.8,1,91.5,16.5,1014,15,73.2,23007,44838,16.1,423.65,29.6,29.54325505
Van Buren ,IA,7468,7570,23.3,20.8,49.2,98.1,0.3,0.5,1.3,0.8,87.2,14.4,668,23.4,85.8,21368,43181,16.5,484.79,15.6,15.40460818
Wapello ,IA,35212,35625,22.4,17,50.6,94.4,2.2,0.9,10,6.8,84.6,16.2,2638,17.4,72.8,22699,41425,19.1,431.83,82.5,81.54134729
Warren ,IA,47956,46225,25.2,14.9,50.8,97.2,0.7,0.6,2.5,1.2,95.3,26.7,3826,24.8,78.7,29088,62535,7.3,569.83,81.1,84.15843322
Washington ,IA,22070,21704,24.8,18.5,50.8,96.9,0.9,0.5,5.6,2.7,89.5,20.8,1573,21.1,75.7,26459,54554,9.8,568.84,38.2,38.7982561
Wayne ,IA,6395,6403,24.2,22.3,51.6,97.6,0.7,0.4,1.7,0.8,88.4,14.1,569,25.2,82.7,22127,40024,12.4,525.44,12.2,12.17075213
Webster ,IA,36955,38013,21.4,17.2,48.2,92.7,4.2,0.9,4.3,2.2,88.8,19.2,3109,15.4,68.5,24203,41624,15.8,715.62,53.1,51.64053548
Winnebago ,IA,10559,10866,21.4,20.4,51.4,96,1.4,1,3.9,3.2,91.9,18.6,835,16.3,76.1,24547,45603,11.4,400.49,27.1,26.36520263
Winneshiek ,IA,20768,21056,18.9,18.1,50.5,97,0.8,1.2,2.1,2.1,93.8,26.5,1485,16.2,77.3,25062,53122,8.4,689.87,30.5,30.10422253
Woodbury ,IA,102271,102172,26,13.8,50.5,88.9,2.8,2.7,15.2,8.3,85.4,20.3,7107,17.7,67.7,23269,45856,15.7,872.83,117.1,117.1717287
Worth ,IA,7624,7598,21.7,19.8,50.2,97.3,0.9,0.5,2.7,1.1,92.5,16.3,706,20.1,81.1,26187,50476,11.5,400.12,19,19.05428371
Wright ,IA,12840,13229,23.1,21.3,49.6,97.2,0.8,0.4,10.2,4.5,88.8,16,938,15.6,77.4,25827,45205,11,580.42,22.8,22.12191172
Ada ,ID,426236,392365,25.1,12.6,49.9,92.4,1.3,2.6,7.7,5.9,93.6,36,29195,19.6,68.1,27452,55210,13.1,1052.58,372.8,404.9440423
Adams ,ID,3861,3976,17,24.9,48.5,96.4,0.2,0.5,3.2,1,92.8,21.9,545,19.3,81.6,21555,35434,16.6,1363.06,2.9,2.832597244
Bannock ,ID,83347,82839,26.8,12.8,50.2,91.6,0.9,1.4,8,3.1,91.8,26.8,5638,18.8,68.8,21327,43534,15.5,1111.99,74.5,74.95301217
Bear Lake ,ID,5957,5986,27.6,19.6,50.3,97.4,0.3,0.5,4.2,1.3,90.7,16.1,440,20,81.3,21853,44964,12.9,974.79,6.1,6.111059818
Benewah ,ID,9118,9285,22.2,21.2,49.5,86.6,0.4,0.4,3.3,2.3,87.4,13.4,1019,21.7,75.2,20198,39049,14.7,776.62,12,11.74061961
Bingham ,ID,45269,45607,31.7,12.9,49.8,89.4,0.5,0.7,17.8,7.1,84.6,17.3,2887,21.1,74.8,18872,47941,15.2,2093.98,21.8,21.6186401
Blaine ,ID,21482,21376,23.2,15.8,49.2,95.5,0.3,1,20.7,13.6,90.6,44.7,1347,16.9,70.1,35524,64042,8.3,2643.59,8.1,8.126070987
Boise ,ID,6824,7028,18.6,21.3,48.4,95.3,0.5,0.5,3.6,2.2,89.2,24.1,758,31.5,78.3,24324,41056,17,1899.24,3.7,3.593016154
Bonner ,ID,41585,40877,20.3,21.4,50,95.9,0.3,0.7,2.9,1.9,90.7,21.1,4676,23.3,73.1,23221,41414,15.2,1734.57,23.6,23.97424145
Bonneville ,ID,108623,104234,31.3,12.1,50.4,94.9,0.7,1,12.5,5.6,90.5,26,6919,19.2,73,22657,50872,11.4,1866.08,55.9,58.20918717
Boundary ,ID,10979,10972,22.9,20.5,49.4,94.5,0.5,0.7,4.2,2.7,84.9,15.4,1263,20.1,74.4,19877,37003,16.5,1268.56,8.6,8.654695087
Butte ,ID,2622,2891,25.6,19.6,49.5,96.1,0.2,0.3,5.8,2.6,89.2,17.9,266,21,79.5,20995,41131,15.7,2231.67,1.3,1.174904892
Camas ,ID,1039,1117,24.4,18.6,48.8,94.1,0.5,0.5,7.5,11.2,84.3,22.3,133,25.1,67.7,21830,41154,15.5,1074.49,1,0.966970377
Canyon ,ID,203143,188923,29.9,12.5,50.6,93.7,0.8,1,24.6,8.4,82.7,16.8,13416,23.6,69.3,17755,42105,20.4,587.37,321.6,345.8518481
Caribou ,ID,6837,6963,28.6,16.8,49.8,97.1,0.2,0.6,5.3,2.8,88.7,17.5,478,18.7,84.1,23586,53586,7.8,1764.15,3.9,3.875520789
Cassia ,ID,23540,22952,32.3,13.5,49.3,95.3,0.6,0.7,26.6,9.7,78,15.6,1340,16.3,69,17801,42039,15.9,2565.08,8.9,9.177101689
Clark ,ID,867,982,28,14.8,47.3,93.5,0.8,1,42.6,34.8,70.1,11.4,41,14,59.5,20032,33200,14.9,1764.19,0.6,0.491443665
Clearwater ,ID,8562,8761,16.3,25.4,45.2,94.4,0.5,0.6,3.6,2,84.9,15.5,1041,22.8,80.1,20256,40134,12.5,2457.27,3.6,3.484354589
Custer ,ID,4140,4368,17.5,23.8,48.7,97.1,0.2,0.4,4.1,1.9,89.6,26.3,547,22.3,83.5,23965,39541,16.1,4920.94,0.9,0.841302678
Elmore ,ID,26094,27038,26.4,11.8,47.8,88.6,3.2,2.8,16.2,9.9,84,16.9,4308,17.4,62.4,20646,42842,16.3,3074.74,8.8,8.486571222
Franklin ,ID,13021,12786,34,13.6,49.3,97.2,0.3,0.2,6.9,2.9,92,17.4,785,23,80.9,17620,44962,12.2,663.65,19.3,19.62028178
Fremont ,ID,12867,13242,28.4,16,47.8,96.2,0.8,0.3,12.4,5.7,87.9,19.7,953,22.8,82.5,19475,44520,12.4,1863.53,7.1,6.904637972
Gem ,ID,16866,16719,23.6,21.4,50.3,95,0.2,1.4,8.2,4.4,86.3,15.8,1656,30.1,74.6,20250,44432,18.2,560.9,29.8,30.06953111
Gooding ,ID,15064,15464,28.2,16.4,48.7,94.8,0.5,0.9,28.6,15.8,74.6,12.1,1125,18.8,70.5,18373,37050,20.8,728.97,21.2,20.66477358
Idaho ,ID,16215,16267,20,24,47.8,94,0.4,0.5,3.1,1.2,88.9,14.8,1877,17.6,78.2,19168,37349,17.5,8477.35,1.9,1.912743959
Jefferson ,ID,27021,26140,34.8,11.1,49.7,96,0.4,0.5,10.3,4.2,89.4,22,1587,23.7,83.8,19598,52023,13.1,1093.5,23.9,24.71056241
Jerome ,ID,22818,22374,30.8,12.1,49.3,94.8,0.6,0.5,34,17.1,70.2,13.4,1339,17.8,63.5,17182,40126,18.3,597.19,37.5,38.20894523
Kootenai ,ID,147326,138494,23.6,17,50.6,94.7,0.4,0.9,4.3,2.3,92.1,23.3,13296,20.8,70.6,24685,49002,13.4,1244.13,111.3,118.4168857
Latah ,ID,38411,37244,18.5,11.8,48.5,93.3,1.1,1.9,4.1,3.8,95.3,44.1,2141,18,56.7,22322,41735,20.4,1076,34.6,35.69795539
Lemhi ,ID,7726,7936,18.2,27.3,49.3,95.8,0.5,0.6,3.1,1.5,90.4,23.8,1004,15.1,71.3,23998,34122,23.3,4563.39,1.7,1.693039604
Lewis ,ID,3838,3821,23,24.1,49.8,90,0.4,0.5,4,2.5,88.3,16.2,468,19.5,74.1,19910,36000,17.9,478.8,8,8.015873016
Lincoln ,ID,5316,5208,30.9,12.3,48.5,95.6,0.5,0.5,30.2,13.8,74.5,11.8,292,29.7,71.7,16530,42433,16.6,1201.41,4.3,4.424800859
Madison ,ID,38038,37536,27,6,49.7,95.6,0.7,1.1,7,4.6,94.9,33.7,960,17.1,49.1,15133,32059,35.8,469.21,80,81.06817843
Minidoka ,ID,20323,20069,28.9,15.5,49.4,94.5,0.8,0.6,33.7,12.4,75.7,9.9,1387,16.1,72.8,19597,43266,13.6,757.59,26.5,26.82585567
Nez Perce ,ID,40007,39265,21.7,18.9,50.5,90.1,0.5,0.9,3.7,1.9,90,21.1,4190,16.3,69.3,24257,46503,11.1,848.09,46.3,47.17305946
Oneida ,ID,4184,4286,28,19.3,50.4,97.4,0.3,0.6,4.1,1.5,93.1,13.2,417,20.4,81.2,18920,40842,16.1,1200.06,3.6,3.486492342
Owyhee ,ID,11353,11526,26.6,16.3,49.1,91.7,0.8,0.7,26.5,10.3,75.4,8.2,922,27.2,64.2,15945,32175,24.2,7665.51,1.5,1.481049532
Payette ,ID,22836,22623,27.1,17,50.5,94.4,0.4,1,16.7,5,85.4,16.4,2002,18,74.6,19165,43649,20,406.87,55.6,56.12603534
Power ,ID,7617,7817,30.5,13.9,49.1,92.9,1,0.5,31.1,13.4,80.3,15.9,478,17.3,70.8,17684,44212,13.9,1404.24,5.6,5.424286447
Shoshone ,ID,12390,12765,19.7,21.7,49.5,94.9,0.3,0.5,3.4,1.7,84.8,13.5,1605,18.7,68.4,20487,38440,17.4,2629.67,4.9,4.711617808
Teton ,ID,10341,10170,27.8,8.6,48.2,97,0.4,0.5,17.7,10.2,87.8,34.4,420,26,72.1,22436,53931,11.7,449.46,22.6,23.00760913
Twin Falls ,ID,80914,77230,27.6,14.8,50.7,94.5,0.7,1.4,15.2,8.5,83.7,16.3,5629,16.6,66.8,20588,43886,15,1921.21,40.2,42.11616637
Valley ,ID,9826,9862,18.3,21.6,48.1,96.5,0.2,0.5,4.4,2.2,92.4,34.3,1131,15.4,77.8,25785,50473,9.5,3664.52,2.7,2.681388013
Washington ,ID,10021,10198,23.4,22.7,50.1,94.9,0.4,1,17.2,7.5,81.8,16.7,1034,22.9,76.3,20380,37453,15,1452.98,7,6.896860246
Adams ,IL,66988,67103,22.5,18.7,51.1,93.6,3.7,0.8,1.4,1.5,89.7,21.3,5862,16.6,72,24217,45073,14.4,855.2,78.5,78.33021515
Alexander ,IL,7492,8238,22.9,18.2,49.7,60.3,36.6,0.3,2.1,1.3,74.6,8.4,678,25.6,65.8,13619,26972,31.6,235.51,35,31.81181266
Bond ,IL,17269,17768,19.4,16.5,47.3,90.8,6.5,0.8,3.5,1.5,86.3,19.1,1458,23.6,74.7,23195,48163,14.6,380.28,46.7,45.4112759
Boone ,IL,53869,54165,26.1,14,50.2,93.1,2.7,1.4,20.6,11.3,85.8,19.3,3404,30.1,82.5,25888,60893,11.3,280.72,193,191.8958393
Brown ,IL,6832,6937,15,13,35.6,78.5,19.2,0.3,6.2,2.8,81.5,12.2,454,18.9,78.2,20555,42194,12.3,305.61,22.7,22.35528942
Bureau ,IL,33840,34978,21.8,19.9,51,96.6,0.9,0.9,8.6,3.6,89.2,17.4,2803,20.4,75.7,26705,48977,11.6,869.03,40.2,38.93996755
Calhoun ,IL,4956,5089,20.4,22.8,49.9,98.8,0.3,0.3,1.1,1.6,89,14.4,444,39.6,81.5,26924,50436,11.9,253.83,20,19.52487886
Carroll ,IL,14715,15387,19.1,23.6,50,96.6,1.1,0.6,3.4,3.3,88.9,15.1,1395,23.8,76.5,27118,47985,13.7,444.81,34.6,33.08154043
Cass ,IL,13156,13642,24.5,16.4,49.3,93.5,3.8,0.6,18.9,10.3,86,13,982,22.2,72.2,22257,45734,14.8,375.82,36.3,35.00611995
Champaign ,IL,207133,201081,19.2,11.1,50.1,73.8,12.8,10.2,5.7,11.7,93.6,42.4,10682,17.6,54.9,25713,45808,22.3,996.27,201.8,207.9084987
Christian ,IL,33892,34800,21.2,18.6,49.1,96.5,1.6,0.7,1.6,1.5,88.2,13.5,3129,24.6,74.7,23915,45145,14.9,709.38,49.1,47.77693197
Clark ,IL,16180,16335,22.8,18.7,50.8,98.1,0.5,0.3,1.4,1,89.5,17.6,1459,21.8,75.6,24296,47405,12.3,501.42,32.6,32.26835786
Clay ,IL,13520,13815,22.9,18.8,50.7,97.6,0.5,0.7,1.5,0.9,87.7,14,1054,19.6,79.6,22279,40640,15.6,468.32,29.5,28.8691493
Clinton ,IL,37857,37762,21.5,16,48.2,94.3,3.7,0.5,3.1,1.6,88.7,20.3,3558,25.3,82.4,27802,61720,8.9,474.09,79.7,79.85192685
Coles ,IL,53320,53873,18,15,51.7,93,4.1,1,2.3,1.9,90,24.2,3785,17,62,21970,37040,22,508.29,106,104.9007456
Cook ,IL,5246456,5194675,22.6,12.9,51.5,65.8,24.4,7.2,25,21.1,84.5,34.7,213855,31.7,58.3,30183,54548,16.9,945.33,5495.1,5549.867242
Crawford ,IL,19393,19817,19.8,18.3,48.4,93.1,4.9,0.6,2.2,1.1,89.2,17.1,1805,18,79.9,25214,46216,14.4,443.63,44.7,43.71435656
Cumberland ,IL,10833,11048,22.8,17.6,49.9,97.6,0.5,0.7,1,1.1,88.8,13.8,982,23.6,80.8,22952,43958,13.9,346.02,31.9,31.30743888
DeKalb ,IL,105462,105160,21.7,11.1,50.5,87.4,7.6,2.8,10.9,6.9,91.1,29.8,5687,26.1,60.2,23696,53375,19,631.31,166.6,167.0526366
De Witt ,IL,16284,16561,21.6,18.1,50.1,97.2,0.8,0.5,2.3,1.1,92.6,16.8,1373,21.8,77,26704,51051,14,397.51,41.7,40.96500717
Douglas ,IL,19889,19980,25.5,16.3,50.4,97.2,0.6,0.7,7.3,4.3,83.8,16.2,1403,20.8,78.3,23732,52741,10.3,416.67,48,47.73321813
DuPage ,IL,932708,916924,23.4,13.5,51,81.1,5.2,11.4,14.1,18.4,92.1,46.3,42246,28.9,74.4,38570,78487,6.9,327.5,2799.8,2847.963359
Edgar ,IL,17841,18576,21.1,20.4,51.5,98.2,0.5,0.2,1,1,86,18.2,1640,23.3,73.4,23368,42133,18.4,623.37,29.8,28.62024159
Edwards ,IL,6617,6721,23,19.2,51.1,97.7,0.6,0.4,1.2,0.6,86.8,10.5,556,22.5,79.9,20898,39075,11.4,222.42,30.2,29.75002248
Effingham ,IL,34320,34242,23.7,16.8,50.2,98,0.5,0.5,1.9,0.9,90.9,20,2605,17.8,78.3,27051,52108,9.1,478.78,71.5,71.68219224
Fayette ,IL,21870,22140,21.7,17.1,46.9,93.6,4.7,0.4,1.7,1.6,84.2,13.1,1712,22.7,80.5,21523,44722,17,716.48,30.9,30.52422957
Ford ,IL,13688,14081,22.8,19.8,50.5,97.2,1,0.4,2.9,0.8,88.6,16.3,1164,21.8,76.6,25448,48866,10.5,485.62,29,28.186648
Franklin ,IL,39411,39561,22.1,19.5,50.9,97.4,0.5,0.4,1.6,0.8,87.1,13.1,3774,24,75.6,20394,36273,19.1,408.89,96.8,96.38533591
Fulton ,IL,36007,37069,20.2,18.9,47.8,94.2,3.9,0.4,2.7,1.7,86.4,14.5,3195,27,75.5,22318,45130,13.3,865.6,42.8,41.59773567
Gallatin ,IL,5291,5589,19.9,22.8,51.5,97.3,0.8,0.1,1.9,0.3,81.3,12,457,24.5,78.3,23862,40330,17.2,323.07,17.3,16.3772557
Greene ,IL,13434,13886,22,18.3,49.7,97.8,1.1,0.1,1,0.6,88.6,12.9,1086,28.9,75.8,22307,43502,13.2,543.02,25.6,24.73942028
Grundy ,IL,50425,50063,25.9,12.9,50.1,96,1.5,0.8,9.3,3.9,91.7,20.2,3472,29,76.2,28725,64541,9,418.04,119.8,120.6224285
Hamilton ,IL,8296,8457,22.3,20.2,51,97.9,0.6,0.2,1.6,0.3,83.8,15.7,713,26.5,76.7,21960,38417,17.1,434.67,19.5,19.08574321
Hancock ,IL,18564,19104,20.6,23.1,50.6,98,0.4,0.3,1.5,1.2,90.6,18.4,1750,23.2,78.3,23714,43925,13.6,793.73,24.1,23.38830585
